block_name,area_name,activity,method,pesticide,lead_agency,start_date,finish_date,lat,lon,region
BSMI_DOC_2022_D-Block_BS,Boundary Stream DOC Rodent Control 2022,,Bait stations,Diphacinone,DOC,1661990400000,1675123200000,-39.10353546331188,176.83551294334407,East Coast
BSMI_DOC_2022_Feracol_Striker,Boundary Stream DOC Rodent Control 2022,,Bait bags,Cholecalciferol,DOC,1661990400000,1672444800000,-39.10353546331188,176.83551294334407,East Coast
Buller 2024 Cyanide Bait Station Feratox,Buller 2024,,Bait stations,Cyanide,TB Free,1755216000000,1783555200000,-41.86464359969512,171.87900164115794,West Coast
Buller 2024 Cyanide Bait Stations Cyanara50,Buller 2024,,Bait stations,Cyanide,TB Free,1755216000000,1783555200000,-41.86464359969512,171.87900164115794,West Coast
Burster-Price Brodifacoum Elimination ,Burster-Price Ground Based Predator Elimination,,Bait stations,Brodifacoum,Shared (detail in comments),1682294400000,1767139200000,-43.3605634007363,170.20836822963864,West Coast
Bushy Point Diphacinone 1,Bushy Point Otatara ,,Bait stations,Diphacinone,Trust,1851292800000,1851292800000,-46.44154851739401,168.32298776265884,Otago
Bushy Point Otatara Pindone ,Bushy Point Otatara ,,Bait stations,Pindone,Trust,1851292800000,1851292800000,-46.44154851739401,168.32298776265884,Otago
Callery 1 Aerial,ZIP Burster-Price Treatment Area,,Aerial,Sodium fluoroacetate,Shared (detail in comments),1747612800000,1753920000000,-43.395055228042764,170.19886666451382,West Coast
Central Wairarapa OSPRI 2025 Diphacinone,Central Wairarapa OSPRI 2025,,Bait stations,Diphacinone,TB Free,1754870400000,1782777600000,-41.31619004995592,175.09328557306915,Wellington
Central Wairarapa OSPRI 2025 Feratox BB,Central Wairarapa OSPRI 2025,,Bait bags,Cyanide,TB Free,1754870400000,1782777600000,-41.31619004995592,175.09328557306915,Wellington
Central Wairarapa OSPRI 2025 Feratox BS,Central Wairarapa OSPRI 2025,,Bait stations,Cyanide,TB Free,1754870400000,1782777600000,-41.31619004995592,175.09328557306915,Wellington
Central Wairarapa OSPRI 2025 Feratox BS cereal prefeed,Central Wairarapa OSPRI 2025,,Bait stations,Cyanide,TB Free,1754870400000,1782777600000,-41.31619004995592,175.09328557306915,Wellington
Clarence (Molesworth) TMA 2024,Clarence (Molesworth) TMA 2024,,Bait bags,Cyanide,TB Free,1742169600000,1746144000000,-42.11374432564301,173.24182998078598,Nelson Marlborough
Clarence River North 2024,Clarence River North 2024,,Bait bags,Cyanide,TB Free,1738540800000,1746144000000,-41.99394870445383,173.88275235721304,Nelson Marlborough
Cluden Aerial Prodeer Sodium fluoroacetate,Cluden OSPRI Aerial sodium fluoroacetate,,Aerial,Sodium fluoroacetate,TB Free,1750118400000,1777507200000,-44.802671044397236,169.68450137941284,Otago
Clutha Buffer Cyanara 50,Clutha Buffer OSPRI 2024-2025,,Handlaying,Cyanide,TB Free,1726444800000,1782777600000,-45.493288873938425,169.6082869210586,Otago
Clutha Buffer Cyanide Paste Hand Laid,Clutha Buffer OSPRI 2024-2025,,Handlaying,Cyanide,TB Free,1719705600000,1782777600000,-45.493288873938425,169.6082869210586,Otago
Clutha Buffer Feratox Bait Bags,Clutha Buffer OSPRI 2024-2025,,Bait bags,Cyanide,TB Free,1726444800000,1782777600000,-45.493288873938425,169.6082869210586,Otago
Cyanide Bait Stations,Clutha Buffer OSPRI 2024-2025,,Bait stations,Cyanide,TB Free,1752451200000,1783987200000,-45.493288873938425,169.6082869210586,Otago
Dan_Rodgers_Brodi_Feratox,PFBP_Dan_Rodgers,,Bait stations,Brodifacoum,Trust,1736121600000,1743901200000,-43.87114368579712,172.96571139623504,Canterbury
Dan_Rodgers_Feratox,PFBP_Dan_Rodgers,,Bait bags,Cyanide,Trust,1736121600000,1743901200000,-43.87114368579712,172.96571139623504,Canterbury
Dart Caples 1080 2025,Dart Caples NPCP 2025,,Aerial,Sodium fluoroacetate,DOC,1763856000000,1763856000000,-44.66977098755285,168.3122468597745,Otago
Diphacinone 2,Bushy Point Otatara ,,Bait stations,Diphacinone,Trust,1668038400000,1851292800000,-46.44154851739401,168.32298776265884,Otago
Dobson,Ohau Forests,,Bait bags,Cyanide,DOC,1762128000000,1783036800000,-43.906555150184,169.9440160059845,West Coast
Double Tap,"Nukumea, Otanerua, Pohuehue and Warkworth SR",,Bait stations,Diphacinone + Cholecalciferol,Council,1737936000000,1751241600000,-36.45502100156449,174.65114102253065,Northland
Double Tap Cereal pellets in BS 2023-2026,A'Deanes Bush Rodent Control 2023-2026,,Bait stations,Pindone,Trust,1701388800000,1782777600000,-39.92996214591793,176.30138779724788,Wellington
East Ahuriri aerial Pindone rabbit control 2024,East Ahuriri aerial Pindone rabbit control 2024,,Aerial,Pindone ,DOC,1721779200000,1725062400000,-44.408802273626115,169.69211732530343,West Coast
ECan Kirkliston CA Aerial 1080 Wallaby Control April 2025,ECan Kirkliston CA Aerial 1080 Wallaby Control,,Aerial,Sodium fluoroacetate,Council,1747180800000,1749859200000,-44.61873625207403,170.4846951890846,Otago
ECan Kirkliston CA Aerial 1080 Wallaby Control July 2025,ECan Kirkliston CA Aerial 1080 Wallaby Control,,Aerial,Sodium fluoroacetate,Council,1752710400000,1754784000000,-44.49266841000803,170.56659743502252,West Coast
ECan Kirkliston CA Aerial 1080 Wallaby Control June 2025,ECan Kirkliston CA Aerial 1080 Wallaby Control,,Aerial,Sodium fluoroacetate,Council,1750032000000,1752364800000,-44.54661276901521,170.54782410204,Otago
Eglinton 2025,Eglinton 2025,,Aerial,Sodium fluoroacetate,DOC,1763769600000,1763769600000,-45.04641560425742,167.91364235227414,Otago
Eglinton 2025 Pindone Ground Control,Eglinton 2025,,Bait stations,Pindone,DOC,1763942400000,1771891200000,-44.98121832533035,168.01937425443583,Otago
Elcho,Ohau Forests,,Bait bags,Cyanide,DOC,1648425600000,1669680000000,-43.916939620122285,169.83915380041415,West Coast
