key,species,genus,family,order,vernacularName,decimalLatitude,decimalLongitude,stateProvince,locality,year,month,day,individualCount,occurrenceStatus,datasetName,recordedBy,basisOfRecord
5938103144,Prunella modularis,Prunella,Prunellidae,Passeriformes,Dunnock,-36.832893,174.426187,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Joanne Ryves,HUMAN_OBSERVATION
5938106020,Spilopelia chinensis,Spilopelia,Columbidae,Columbiformes,Eastern Spotted Dove,-36.830779,174.594956,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Rebecca Gardner,HUMAN_OBSERVATION
5938106348,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,New Zealand Fantail,-41.271756,174.766139,Wellington,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Jonathan Anderson,HUMAN_OBSERVATION
5938106884,Sterna striata,Sterna,Laridae,Charadriiformes,Black-naped Tern,-39.636536,177.073681,Hawke's Bay,,2026,1,2,,PRESENT,iNaturalist research-grade observations,jrecloux,HUMAN_OBSERVATION
5938106929,Chroicocephalus bulleri,Chroicocephalus,Laridae,Charadriiformes,Black-billed Gull,-41.288078,174.006819,Marlborough,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Andrea Perez,HUMAN_OBSERVATION
5938107751,Eudyptes filholi,Eudyptes,Spheniscidae,Sphenisciformes,Eastern Rockhopper Penguin,-50.772114,166.010594,Southland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Darcy,HUMAN_OBSERVATION
5938109200,Hemiphaga novaeseelandiae,Hemiphaga,Columbidae,Columbiformes,New Zealand Pigeon,-36.863188,174.721927,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Jesse Saofia,HUMAN_OBSERVATION
5938109231,Turdus merula,Turdus,Turdidae,Passeriformes,Blackbird,-36.980031,175.115812,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Scott,HUMAN_OBSERVATION
5938109625,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.8057,174.785323,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938110191,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-43.48625,172.696652,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,William Harland,HUMAN_OBSERVATION
5938110222,Pterodroma cookii,Pterodroma,Procellariidae,Procellariiformes,Cook's Petrel,-46.744342,168.266868,,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Eric Cameron,HUMAN_OBSERVATION
5938110326,Gerygone igata,Gerygone,Acanthizidae,Passeriformes,Gray Gerygone,-41.63074,171.867585,West Coast,,2026,1,6,,PRESENT,iNaturalist research-grade observations,craig wilson,HUMAN_OBSERVATION
5938112211,Prosthemadera novaeseelandiae,Prosthemadera,Meliphagidae,Passeriformes,Tui,-38.680427,176.045028,Waikato,,2026,1,3,,PRESENT,iNaturalist research-grade observations,jrecloux,HUMAN_OBSERVATION
5938112259,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.890897,174.747036,Auckland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Jesse Saofia,HUMAN_OBSERVATION
5938116044,,Anarhynchus,Charadriidae,Charadriiformes,,-39.098512,173.977338,Taranaki,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Eve Cozzi,HUMAN_OBSERVATION
5938117325,Turdus philomelos,Turdus,Turdidae,Passeriformes,(drozd) śpiewak,-41.232497,174.896515,Wellington,,2026,1,5,,PRESENT,iNaturalist research-grade observations,kiwialli,HUMAN_OBSERVATION
5938118396,,Anarhynchus,Charadriidae,Charadriiformes,,-43.284167,171.711111,Canterbury,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Marley,HUMAN_OBSERVATION
5938118441,Prosthemadera novaeseelandiae,Prosthemadera,Meliphagidae,Passeriformes,Tui,-38.474712,175.777319,Waikato,,2026,1,2,,PRESENT,iNaturalist research-grade observations,greghadley1,HUMAN_OBSERVATION
5938118674,Phalacrocorax varius,Phalacrocorax,Phalacrocoracidae,Suliformes,Australian Pied Cormorant,-41.093014,174.233597,Marlborough,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Squirrellychops,HUMAN_OBSERVATION
5938120402,Pterodroma cookii,Pterodroma,Procellariidae,Procellariiformes,Cook's Petrel,-46.571128,168.425737,Southland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Ben Ackerley,HUMAN_OBSERVATION
5938120559,Diomedea epomophora,Diomedea,Diomedeidae,Procellariiformes,Royal Albatross,-50.492652,166.297055,Southland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Margie,HUMAN_OBSERVATION
5938120866,Nestor meridionalis,Nestor,Psittacidae,Psittaciformes,New Zealand Kaka,-45.766803,170.596242,Otago,,2026,1,4,,PRESENT,iNaturalist research-grade observations,cwlonie6626,HUMAN_OBSERVATION
5938122796,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.943272,174.89366,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Wilhelm Joshua Tan,HUMAN_OBSERVATION
5938123335,Egretta novaehollandiae,Egretta,Ardeidae,Pelecaniformes,White-faced Heron,-35.7661,174.358245,Northland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,kiwi-et,HUMAN_OBSERVATION
5938123591,Passer domesticus,Passer,Passeridae,Passeriformes,Adar y To,-36.891148,174.747532,Auckland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Jesse Saofia,HUMAN_OBSERVATION
5938127031,Podiceps cristatus,Podiceps,Podicipedidae,Podicipediformes,Great Crested Grebe,-45.019029,168.716039,Otago,,2026,1,5,,PRESENT,iNaturalist research-grade observations,Chris Harrison,HUMAN_OBSERVATION
5938129468,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.85048,174.764488,Auckland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Wilhelm Joshua Tan,HUMAN_OBSERVATION
5938130958,Carduelis carduelis,Carduelis,Fringillidae,Passeriformes,Cadernera,-45.604428,170.675267,Otago,,2026,1,1,,PRESENT,iNaturalist research-grade observations,cwlonie6626,HUMAN_OBSERVATION
5938131090,Todiramphus sanctus,Todiramphus,Alcedinidae,Coraciiformes,Sacred Kingfisher,-36.90909,174.954798,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,jw_nz,HUMAN_OBSERVATION
5938131801,Gallus gallus,Gallus,Phasianidae,Galliformes,Bonmurag,-35.277747,174.051772,Northland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,tyronehull,HUMAN_OBSERVATION
5938132160,Haematopus unicolor,Haematopus,Haematopodidae,Charadriiformes,Variable Oystercatcher,-40.751266,172.715978,Nelson,,2026,1,3,,PRESENT,iNaturalist research-grade observations,gabuun,HUMAN_OBSERVATION
5938132195,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-39.64971,177.07391,Hawke's Bay,,2026,1,3,,PRESENT,iNaturalist research-grade observations,peresol,HUMAN_OBSERVATION
5938132218,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.994955,174.885203,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Scott,HUMAN_OBSERVATION
5938132502,Emberiza citrinella,Emberiza,Emberizidae,Passeriformes,Eurasian Yellow Bunting,-40.509089,172.67031,Nelson,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Sam Moynan,HUMAN_OBSERVATION
5938132516,Larus dominicanus,Larus,Laridae,Charadriiformes,Dominican gull,-36.865292,174.724153,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,blackbird17,HUMAN_OBSERVATION
